opinion_id,label,term
neg_new_1,Neg,actors
neg_new_1,Neg,aiming
neg_new_1,Neg,baffling
neg_new_1,Neg,draft
neg_new_1,Neg,dull
neg_new_1,Neg,feels
neg_new_1,Neg,know
neg_new_1,Neg,like
neg_new_1,Neg,movie
neg_new_1,Neg,script
neg_new_1,Neg,talent
neg_new_1,Neg,tone
neg_new_1,Neg,turned
neg_new_2,Neg,better
neg_new_2,Neg,chaotic
neg_new_2,Neg,copied
neg_new_2,Neg,couldn
neg_new_2,Neg,credits
neg_new_2,Neg,dialogue
neg_new_2,Neg,editing
neg_new_2,Neg,feels
neg_new_2,Neg,film
neg_new_2,Neg,intrusive
neg_new_2,Neg,music
neg_new_2,Neg,painfully
neg_new_2,Neg,roll
neg_new_2,Neg,scene
neg_new_2,Neg,unnatural
neg_new_2,Neg,wait
neg_new_3,Neg,black
neg_new_3,Neg,cardboard
neg_new_3,Neg,characters
neg_new_3,Neg,evaporates
neg_new_3,Neg,excitement
neg_new_3,Neg,fades
neg_new_3,Neg,mistakes
neg_new_3,Neg,moment
neg_new_3,Neg,noise
neg_new_3,Neg,screen
neg_new_3,Neg,shallow
neg_new_3,Neg,spectacle
neg_new_3,Neg,story
neg_new_4,Neg,filmmakers
neg_new_4,Neg,forgot
neg_new_4,Neg,important
neg_new_4,Neg,interesting
neg_new_4,Neg,make
neg_new_4,Neg,parody
neg_new_4,Neg,point
neg_new_4,Neg,pretentious
neg_new_4,Neg,wanted
neg_new_5,Neg,connects
neg_new_5,Neg,experience
neg_new_5,Neg,flashbacks
neg_new_5,Neg,frustrating
neg_new_5,Neg,incoherent
neg_new_5,Neg,manages
neg_new_5,Neg,metaphors
neg_new_5,Neg,monologues
neg_new_5,Neg,throws
pos_new_1,Pos,alive
pos_new_1,Pos,breathtaking
pos_new_1,Pos,characters
pos_new_1,Pos,design
pos_new_1,Pos,end
pos_new_1,Pos,fantasy
pos_new_1,Pos,feel
pos_new_1,Pos,frame
pos_new_1,Pos,heartfelt
pos_new_1,Pos,mixes
pos_new_1,Pos,painted
pos_new_1,Pos,purpose
pos_new_1,Pos,smiling
pos_new_1,Pos,storytelling
pos_new_1,Pos,stunning
pos_new_1,Pos,tearing
pos_new_1,Pos,visually
pos_new_1,Pos,world
pos_new_2,Pos,actually
pos_new_2,Pos,beats
pos_new_2,Pos,drags
pos_new_2,Pos,emotional
pos_new_2,Pos,humor
pos_new_2,Pos,just
pos_new_2,Pos,land
pos_new_2,Pos,pacing
pos_new_2,Pos,respectful
pos_new_2,Pos,right
pos_new_2,Pos,smart
pos_new_2,Pos,writing
pos_new_3,Pos,big
pos_new_3,Pos,budget
pos_new_3,Pos,cast
pos_new_3,Pos,chemistry
pos_new_3,Pos,daring
pos_new_3,Pos,director
pos_new_3,Pos,electric
pos_new_3,Pos,movie
pos_new_3,Pos,rare
pos_new_3,Pos,rhythm
pos_new_3,Pos,scene
pos_new_3,Pos,shines
pos_new_3,Pos,tone
pos_new_3,Pos,unique
pos_new_3,Pos,voice
pos_new_4,Pos,captured
pos_new_4,Pos,effects
pos_new_4,Pos,example
pos_new_4,Pos,filmmaking
pos_new_4,Pos,forced
pos_new_4,Pos,genuine
pos_new_4,Pos,great
pos_new_4,Pos,humanity
pos_new_4,Pos,just
pos_new_4,Pos,loud
pos_new_4,Pos,patient
pos_new_4,Pos,perfect
pos_new_4,Pos,performances
pos_new_4,Pos,sentiment
pos_new_4,Pos,storytelling
pos_new_5,Pos,attention
pos_new_5,Pos,beautifully
pos_new_5,Pos,clue
pos_new_5,Pos,deeply
pos_new_5,Pos,dialogue
pos_new_5,Pos,discuss
pos_new_5,Pos,end
pos_new_5,Pos,fits
pos_new_5,Pos,hours
pos_new_5,Pos,left
pos_new_5,Pos,line
pos_new_5,Pos,mystery
pos_new_5,Pos,rewards
pos_new_5,Pos,satisfying
pos_new_5,Pos,theater
pos_new_5,Pos,wanting
